sku,category,supplier,warehouse,on_hand,reserved,reorder_point,unit_cost,last_counted,discontinued,lead_time_days,notes
sku-2000,fastener,altona,wh-1,40,0,20,2.50,2026-06-01,no,3,restock
sku-2001,seal,brixen,wh-2,47,3,30,3.75,2026-06-02,no,10,
sku-2002,bearing,calder,wh-1,54,6,40,5.00,2026-06-03,no,17,
sku-2003,gasket,altona,wh-2,61,9,50,6.25,2026-06-04,no,24,
sku-2004,coupling,brixen,wh-1,68,12,60,7.50,2026-06-05,no,3,
sku-2005,fastener,calder,wh-2,75,15,20,8.75,2026-06-06,no,10,
sku-2006,seal,altona,wh-1,82,18,30,10.00,2026-06-07,no,17,restock
sku-2007,bearing,brixen,wh-2,89,21,40,11.25,2026-06-08,no,24,
sku-2008,gasket,calder,wh-1,96,24,50,12.50,2026-06-09,no,3,
sku-2009,coupling,altona,wh-2,103,2,60,2.50,2026-06-10,yes,10,
sku-2010,fastener,brixen,wh-1,110,5,20,3.75,2026-06-11,no,17,
sku-2011,seal,calder,wh-2,117,8,30,5.00,2026-06-12,no,24,
sku-2012,bearing,altona,wh-1,124,11,40,6.25,2026-06-13,no,3,restock
sku-2013,gasket,brixen,wh-2,131,14,50,7.50,2026-06-14,no,10,
sku-2014,coupling,calder,wh-1,138,17,60,8.75,2026-06-15,no,17,
sku-2015,fastener,altona,wh-2,145,20,20,10.00,2026-06-16,no,24,
sku-2016,seal,brixen,wh-1,152,23,30,11.25,2026-06-17,no,3,
sku-2017,bearing,calder,wh-2,159,1,40,12.50,2026-06-18,no,10,
sku-2018,gasket,altona,wh-1,166,4,50,2.50,2026-06-19,no,17,restock
sku-2019,coupling,brixen,wh-2,173,7,60,3.75,2026-06-20,yes,24,
sku-2020,fastener,calder,wh-1,180,10,20,5.00,2026-06-21,no,3,
sku-2021,seal,altona,wh-2,187,13,30,6.25,2026-06-22,no,10,
sku-2022,bearing,brixen,wh-1,194,16,40,7.50,2026-06-23,no,17,
sku-2023,gasket,calder,wh-2,201,19,50,8.75,2026-06-24,no,24,
sku-2024,coupling,altona,wh-1,208,22,60,10.00,2026-06-25,no,3,restock
sku-2025,fastener,brixen,wh-2,215,0,20,11.25,2026-06-26,no,10,
sku-2026,seal,calder,wh-1,222,3,30,12.50,2026-06-27,no,17,
sku-2027,bearing,altona,wh-2,229,6,40,2.50,2026-06-28,no,24,
sku-2028,gasket,brixen,wh-1,236,9,50,3.75,2026-06-01,no,3,
sku-2029,coupling,calder,wh-2,243,12,60,5.00,2026-06-02,yes,10,
