order_id,order_date,region,rep,units,unit_price,amount
so-1001,2026-07-01,north,adams,12,24.50,294.00
so-1002,2026-07-01,south,boone,8,31.00,248.00
so-1003,2026-07-02,east,crane,20,18.75,375.00
so-1004,2026-07-02,west,dover,15,22.00,330.00
so-1005,2026-07-03,north,adams,9,24.50,220.50
so-1006,2026-07-03,south,boone,14,31.00,434.00
so-1007,2026-07-06,east,crane,6,18.75,112.50
so-1008,2026-07-06,west,dover,22,22.00,484.00
so-1009,2026-07-07,north,ellis,11,24.50,269.50
so-1010,2026-07-07,south,boone,18,31.00,558.00
so-1011,2026-07-08,east,crane,13,18.75,243.75
so-1012,2026-07-08,west,dover,7,22.00,154.00
so-1013,2026-07-09,north,adams,1950,25.00,48750.00
so-1014,2026-07-09,south,boone,16,31.00,496.00
so-1015,2026-07-10,east,crane,10,18.75,187.50
so-1016,2026-07-10,west,dover,19,22.00,418.00
so-1017,2026-07-13,north,ellis,5,24.50,122.50
so-1018,2026-07-13,south,flint,21,31.00,651.00
so-1019,2026-07-14,east,crane,17,18.75,318.75
so-1020,2026-07-14,west,dover,12,22.00,264.00
so-1021,2026-07-15,south,flint,1200,26.00,31200.00
so-1022,2026-07-15,north,adams,13,24.50,318.50
so-1023,2026-07-16,east,crane,9,18.75,168.75
so-1024,2026-07-16,west,dover,11,22.00,242.00
